ID,Radius [kpc],Radius [arcs],Vrot [km/s],eVrot_1 [km/s],eVrot_2 [km/s],"Vm,t","eVm,t","Vm,r","eVm,r"
DDO53-Disk,1.44,83,52.45,7.14,7.14,0,0,0,0
DDO53-Disk,1.571,90,47.45,7.86,7.86,0,0,0,0
DDO53-Disk,1.702,98,38.95,8.83,8.83,0,0,0,0
DDO87-Disk,0.504,14,9.19,2.76,2.76,0,0,0,0
DDO87-Disk,1.008,27,17.05,0.24,0.24,0,0,0,0
DDO87-Disk,1.512,41,23.62,1.85,1.85,0,0,0,0
DDO87-Disk,2.016,54,31.33,1.2,1.2,0,0,0,0
DDO87-Disk,2.52,68,35.88,0.56,0.56,0,0,0,0
DDO87-Disk,3.024,81,39.68,0.43,0.43,0,0,0,0
DDO87-Disk,3.528,95,41.97,0.14,0.14,0,0,0,0
DDO87-Disk,4.032,108,41.99,0.64,0.64,0,0,0,0
DDO87-Disk,4.536,122,43.13,1.66,1.66,0,0,0,0
DDO87-Disk,5.04,135,45.19,0.25,0.25,0,0,0,0
DDO87-Disk,5.544,149,47.84,4.79,4.79,0,0,0,0
DDO126-Disk,0.321,14,1.39,0.84,0.84,0,0,0,0
DDO126-Disk,0.641,27,7.15,1.16,1.16,0,0,0,0
DDO126-Disk,0.962,41,16.7,0.58,0.58,0,0,0,0
DDO126-Disk,1.283,54,25.11,0.99,0.99,0,0,0,0
DDO126-Disk,1.604,68,30.4,2.09,2.09,0,0,0,0
DDO126-Disk,1.924,81,34.8,1.41,1.41,0,0,0,0
DDO126-Disk,2.245,95,36.12,1.11,1.11,0,0,0,0
DDO126-Disk,2.566,108,37.39,2.49,2.49,0,0,0,0
DDO126-Disk,2.886,122,38.05,2.92,2.92,0,0,0,0
DDO126-Disk,3.207,135,39.36,2.15,2.15,0,0,0,0
DDO133-Disk,0.229,14,13.32,2.79,2.79,0,0,0,0
DDO133-Disk,0.458,27,21.07,0.18,0.18,0,0,0,0
DDO133-Disk,0.687,41,26.44,1.96,1.96,0,0,0,0
DDO133-Disk,0.916,54,32.92,0.75,0.75,0,0,0,0
DDO133-Disk,1.145,68,34.79,7.85,7.85,0,0,0,0
DDO133-Disk,1.374,81,38.65,5.76,5.76,0,0,0,0
DDO133-Disk,1.604,95,41.03,8.28,8.28,0,0,0,0
DDO133-Disk,1.833,108,44.87,6.37,6.37,0,0,0,0
DDO133-Disk,2.062,122,47.1,8.13,8.13,0,0,0,0
DDO133-Disk,2.291,135,47.62,6.84,6.84,0,0,0,0
DDO133-Disk,2.52,149,48.11,6.5,6.5,0,0,0,0
DDO133-Disk,2.749,162,47.97,7.25,7.25,0,0,0,0
DDO133-Disk,2.978,176,54.79,3.85,3.85,0,0,0,0
DDO133-Disk,3.207,189,42.72,1.73,1.73,0,0,0,0
DDO154-Disk,0.269,15,8.81,1.65,1.65,0,0,0,0
DDO154-Disk,0.538,30,14.27,0.93,0.93,0,0,0,0
DDO154-Disk,0.807,45,19.01,1,1,0,0,0,0
DDO154-Disk,1.076,60,23,0.92,0.92,0,0,0,0
DDO154-Disk,1.345,75,27.95,0.98,0.98,0,0,0,0
DDO154-Disk,1.614,90,32.15,1.17,1.17,0,0,0,0
DDO154-Disk,1.883,105,34.69,0.72,0.72,0,0,0,0
DDO154-Disk,2.153,120,35.69,0.51,0.51,0,0,0,0
DDO154-Disk,2.422,135,37.7,0.83,0.83,0,0,0,0
DDO154-Disk,2.691,150,39.89,1.44,1.44,0,0,0,0
DDO154-Disk,2.96,165,41.56,1.31,1.31,0,0,0,0
DDO154-Disk,3.229,180,42.29,1.07,1.07,0,0,0,0
DDO154-Disk,3.498,195,42.66,1.22,1.22,0,0,0,0
DDO154-Disk,3.767,210,43.51,1.19,1.19,0,0,0,0
DDO154-Disk,4.036,225,44.17,1.34,1.34,0,0,0,0
DDO154-Disk,4.305,240,44.43,0.6,0.6,0,0,0,0
DDO154-Disk,4.574,255,44.9,0.41,0.41,0,0,0,0
DDO154-Disk,4.843,270,45.17,0.6,0.6,0,0,0,0
DDO154-Disk,5.112,285,45.66,0.51,0.51,0,0,0,0
DDO154-Disk,5.381,300,44.54,0.53,0.53,0,0,0,0
DDO154-Disk,5.65,315,44.48,0.37,0.37,0,0,0,0
DDO154-Disk,5.92,330,44.78,0.84,0.84,0,0,0,0
DDO154-Disk,6.189,345,45.48,1.56,1.56,0,0,0,0
DDO154-Disk,6.458,360,46.64,1,1,0,0,0,0
DDO154-Disk,6.727,375,46.5,0.96,0.96,0,0,0,0
DDO154-Disk,6.996,390,45.94,1.4,1.4,0,0,0,0
DDO154-Disk,7.265,405,43.74,1.77,1.77,0,0,0,0
DDO154-Disk,7.534,420,43.46,1.98,1.98,0,0,0,0
DDO168-Disk,0.281,14,4.84,0.37,0.37,0,0,0,0
DDO168-Disk,0.563,27,13.95,3.64,3.64,0,0,0,0
DDO168-Disk,0.844,41,22.13,3.21,3.21,0,0,0,0
DDO168-Disk,1.126,54,27.22,3.48,3.48,0,0,0,0
DDO168-Disk,1.407,68,35.27,4.13,4.13,0,0,0,0
DDO168-Disk,1.689,81,43.63,4.59,4.59,0,0,0,0
DDO168-Disk,1.97,95,49.38,4.33,4.33,0,0,0,0
DDO168-Disk,2.251,108,55.04,6.12,6.12,0,0,0,0
DDO168-Disk,2.533,122,58.7,6.87,6.87,0,0,0,0
DDO168-Disk,2.814,135,59.19,5.42,5.42,0,0,0,0
DDO168-Disk,3.096,149,57.46,1.93,1.93,0,0,0,0
DDO168-Disk,3.377,162,55.99,1.61,1.61,0,0,0,0
DDO168-Disk,3.659,176,48.58,3.71,3.71,0,0,0,0
DDO168-Disk,3.94,189,48.73,2.74,2.74,0,0,0,0
DDO210-Disk,0.079,18,1.06,0.95,0.95,0,0,0,0
DDO210-Disk,0.157,36,4.6,1.62,1.62,0,0,0,0
DDO210-Disk,0.236,54,13.62,2.94,2.94,0,0,0,0
DDO210-Disk,0.314,72,19.85,4.66,4.66,0,0,0,0
DDO210-Disk,0.393,90,20.23,3.96,3.96,0,0,0,0
DDO210-Disk,0.471,108,9.26,2.34,2.34,0,0,0,0
DDO216-Disk,0.093,18,11.87,3.27,3.27,0,0,0,0
DDO216-Disk,0.187,35,23.77,9.02,9.02,0,0,0,0
DDO216-Disk,0.28,53,25.56,7.9,7.9,0,0,0,0
DDO216-Disk,0.373,70,27.69,9.94,9.94,0,0,0,0
DDO216-Disk,0.467,88,28.77,7.58,7.58,0,0,0,0
DDO216-Disk,0.56,105,28.97,10.44,10.44,0,0,0,0
DDO216-Disk,0.653,123,25.03,8.09,8.09,0,0,0,0
DDO216-Disk,0.747,140,24.78,7.55,7.55,0,0,0,0
DDO216-Disk,0.84,158,24.51,7.21,7.21,0,0,0,0
DDO216-Disk,0.933,175,30.31,11.38,11.38,0,0,0,0
DDO216-Disk,1.027,193,35.46,12.23,12.23,0,0,0,0
NGC2366-Disk,0.223,14,2.48,3.14,3.14,0,0,0,0
NGC2366-Disk,0.445,27,6.82,1.79,1.79,0,0,0,0
NGC2366-Disk,0.668,41,14.79,5.36,5.36,0,0,0,0
NGC2366-Disk,0.89,54,22.19,2.79,2.79,0,0,0,0
NGC2366-Disk,1.113,68,27.9,4.85,4.85,0,0,0,0
NGC2366-Disk,1.335,81,34.72,5.48,5.48,0,0,0,0
NGC2366-Disk,1.558,95,41.51,5.31,5.31,0,0,0,0
NGC2366-Disk,1.78,108,46.56,4.59,4.59,0,0,0,0
NGC2366-Disk,2.003,122,51.3,0.83,0.83,0,0,0,0
NGC2366-Disk,2.225,135,53.51,0.64,0.64,0,0,0,0
NGC2366-Disk,2.448,149,55.73,0.7,0.7,0,0,0,0
NGC2366-Disk,2.67,162,57.58,1.69,1.69,0,0,0,0
NGC2366-Disk,2.893,176,57.44,13.77,13.77,0,0,0,0
NGC2366-Disk,3.115,189,59.4,8.26,8.26,0,0,0,0
NGC2366-Disk,3.338,203,60.86,6.06,6.06,0,0,0,0
NGC2366-Disk,3.56,216,61.37,4.66,4.66,0,0,0,0
NGC2366-Disk,3.783,230,62.08,9.31,9.31,0,0,0,0
NGC2366-Disk,4.006,243,61.6,8.98,8.98,0,0,0,0
NGC2366-Disk,4.228,257,62.19,9.89,9.89,0,0,0,0
NGC2366-Disk,4.451,270,65.42,10.44,10.44,0,0,0,0
NGC2366-Disk,4.673,284,66.88,12.41,12.41,0,0,0,0
NGC2366-Disk,4.896,297,68.37,16.01,16.01,0,0,0,0
NGC2366-Disk,5.118,311,68.69,17.84,17.84,0,0,0,0
NGC2366-Disk,5.341,324,68.75,19.89,19.89,0,0,0,0
NGC2366-Disk,5.563,338,68.32,17.78,17.78,0,0,0,0
NGC2366-Disk,5.786,351,66.24,10.18,10.18,0,0,0,0
NGC2366-Disk,6.008,365,64.88,9.81,9.81,0,0,0,0
NGC2366-Disk,6.231,378,58.99,4.2,4.2,0,0,0,0
NGC2366-Disk,6.453,392,55.25,1.67,1.67,0,0,0,0
NGC2366-Disk,6.676,405,52.41,14.41,14.41,0,0,0,0
NGC2366-Disk,6.898,419,44.53,10.47,10.47,0,0,0,0
UGC8508-Disk,0,,12.89,1.81,1.81,0,0,0,0
UGC8508-Disk,0,,52.37,1.69,1.69,0,0,0,0
UGC8508-Disk,0,,64.15,24.95,24.95,0,0,0,0
UGC8508-Disk,0,,69.05,34.28,34.28,0,0,0,0
UGC8508-Disk,0,,66.86,23.66,23.66,0,0,0,0
UGC8508-Disk,0,,71.92,27.37,27.37,0,0,0,0
UGC8508-Disk,0,,73.42,22.82,22.82,0,0,0,0
UGC8508-Disk,0,,78.43,20.87,20.87,0,0,0,0
UGC8508-Disk,0,,84.8,19.88,19.88,0,0,0,0
UGC8508-Disk,0,,97.29,21.48,21.48,0,0,0,0
UGC8508-Disk,0,,103.58,22.95,22.95,0,0,0,0
WLM-Disk,0.151,12,2.28,0.88,0.88,0,0,0,0
WLM-Disk,0.303,24,4.06,1.63,1.63,0,0,0,0
WLM-Disk,0.454,36,7.42,1.66,1.66,0,0,0,0
WLM-Disk,0.605,48,9.58,2.42,2.42,0,0,0,0
WLM-Disk,0.756,60,11.29,2.18,2.18,0,0,0,0
WLM-Disk,0.908,72,12.02,1.63,1.63,0,0,0,0
WLM-Disk,1.059,84,13.08,1.9,1.9,0,0,0,0
WLM-Disk,1.21,96,14.04,0.62,0.62,0,0,0,0
WLM-Disk,1.361,108,16.05,0.9,0.9,0,0,0,0
WLM-Disk,1.513,120,17.42,1.44,1.44,0,0,0,0
WLM-Disk,1.664,132,19.14,1.25,1.25,0,0,0,0
WLM-Disk,1.815,144,20.22,1.84,1.84,0,0,0,0
WLM-Disk,1.966,156,21.71,1.39,1.39,0,0,0,0
WLM-Disk,2.118,168,22.68,1.44,1.44,0,0,0,0
WLM-Disk,2.269,180,23.58,1.56,1.56,0,0,0,0
WLM-Disk,2.42,192,24.23,1.68,1.68,0,0,0,0
WLM-Disk,2.571,204,24.24,1.99,1.99,0,0,0,0
WLM-Disk,2.723,216,24.21,1.65,1.65,0,0,0,0
WLM-Disk,2.874,228,24.67,0.62,0.62,0,0,0,0
WLM-Disk,3.025,240,24.67,1.65,1.65,0,0,0,0
WLM-Disk,3.176,252,24.81,1.36,1.36,0,0,0,0
WLM-Disk,3.328,264,25.87,0.91,0.91,0,0,0,0
WLM-Disk,3.479,276,25.78,0.92,0.92,0,0,0,0
WLM-Disk,3.63,288,25.85,0.8,0.8,0,0,0,0
WLM-Disk,3.782,300,25.93,1.22,1.22,0,0,0,0
WLM-Disk,3.933,312,27.2,0.4,0.4,0,0,0,0
WLM-Disk,4.084,324,27.87,1.28,1.28,0,0,0,0
WLM-Disk,4.235,336,28.79,1.1,1.1,0,0,0,0
WLM-Disk,4.387,348,28.74,0.22,0.22,0,0,0,0
WLM-Disk,4.538,360,29.14,1.18,1.18,0,0,0,0
WLM-Disk,4.689,372,29.82,1.49,1.49,0,0,0,0
WLM-Disk,4.84,384,30.45,1.01,1.01,0,0,0,0
WLM-Disk,4.992,396,30.97,0.98,0.98,0,0,0,0
WLM-Disk,5.143,408,31.77,0.81,0.81,0,0,0,0
WLM-Disk,5.294,420,32.99,0.96,0.96,0,0,0,0
WLM-Disk,5.445,432,33.05,1.18,1.18,0,0,0,0
WLM-Disk,5.597,444,33.35,0.83,0.83,0,0,0,0
WLM-Disk,5.748,456,33.3,1.24,1.24,0,0,0,0
WLM-Disk,5.899,468,33.81,1.29,1.29,0,0,0,0
WLM-Disk,6.05,480,34.22,0.89,0.89,0,0,0,0
WLM-Disk,6.202,492,33.96,0.95,0.95,0,0,0,0
WLM-Disk,6.353,504,34.76,0.47,0.47,0,0,0,0
WLM-Disk,6.504,516,35.09,0.7,0.7,0,0,0,0
WLM-Disk,6.656,528,34.91,0.15,0.15,0,0,0,0
WLM-Disk,6.807,540,33.93,0.81,0.81,0,0,0,0
WLM-Disk,6.958,552,34.56,1.23,1.23,0,0,0,0
WLM-Disk,7.109,564,34.17,1.36,1.36,0,0,0,0
WLM-Disk,7.261,576,34.18,1.39,1.39,0,0,0,0
WLM-Disk,7.412,588,37.25,0.88,0.88,0,0,0,0
WLM-Disk,7.563,600,37.73,0.92,0.92,0,0,0,0
