ID,Radius [kpc],Radius [arcs],Vrot [km/s]
DDO154,2.825,157.5,40.5
DDO154,3.094,172.5,41.97
DDO154,3.363,187.5,42.94
DDO154,3.632,202.5,43.12
DDO154,3.902,217.5,45.02
DDO154,4.171,232.5,45.63
DDO154,4.440,247.5,46.2
DDO154,4.709,262.5,46.84
DDO154,4.978,277.5,45.86
DDO154,5.247,292.5,46.04
DDO154,5.516,307.5,45.37
DDO154,5.785,322.5,45.27
DDO154,6.054,337.5,45.05
DDO154,6.323,352.5,44.64
DDO154,6.592,367.5,48.26
DDO154,6.861,382.5,45.01
DDO154,7.130,397.5,48.75
DDO154,7.399,412.5,45.52
DDO168,0.141,6.75,1.75
DDO168,0.422,20.25,6.35
DDO168,0.704,33.75,15.5
DDO168,0.985,47.25,23.38
DDO168,1.266,60.75,71.7
DDO168,1.548,74.25,32.33
DDO168,1.829,87.75,36.33
DDO168,2.111,101.25,41.19
DDO168,2.392,114.75,47.98
DDO168,2.674,128.25,57.23
DDO168,2.955,141.75,52.04
DDO168,3.236,155.25,50.74
DDO168,3.518,168.75,49.36
DDO168,3.799,182.25,48.9
DDO210,0.039,9,2.95
DDO210,0.118,27,3.67
DDO210,0.196,45,4.76
DDO210,0.275,63,4.59
DDO210,0.353,81,4.31
DDO210,0.432,99,5.75
DDO216,0.047,8.75,2.29
DDO216,0.140,26.25,2.23
DDO216,0.233,43.75,6.94
DDO216,0.327,61.25,7.36
DDO216,0.420,78.75,10.06
DDO216,0.513,96.25,9.57
DDO216,0.607,113.75,10.82
DDO216,0.700,131.25,11.71
DDO216,0.793,148.75,10.68
DDO216,0.887,166.25,13.08
DDO216,0.980,183.75,10.14
NGC2366,0.111,6.75,30.46
NGC2366,0.334,20.25,3.41
NGC2366,0.556,33.75,8.36
NGC2366,0.779,47.25,13
NGC2366,1.001,60.75,17.01
NGC2366,1.224,74.25,21.58
NGC2366,1.446,87.75,27.16
NGC2366,1.669,101.25,30.87
NGC2366,1.891,114.75,34.35
NGC2366,2.114,128.25,36.74
NGC2366,2.337,141.75,41.37
NGC2366,2.559,155.25,44.26
NGC2366,2.782,168.75,48.53
NGC2366,3.004,182.25,52
NGC2366,3.227,195.75,52.35
NGC2366,3.449,209.25,52.1
NGC2366,3.672,222.75,52.67
NGC2366,3.894,236.25,53.26
NGC2366,4.117,249.75,51.01
NGC2366,4.339,263.25,52.66
NGC2366,4.562,276.75,53.49
NGC2366,4.784,290.25,52.45
NGC2366,5.007,303.75,52.39
NGC2366,5.229,317.25,52.45
NGC2366,5.452,330.75,51.38
NGC2366,5.674,344.25,51.42
NGC2366,5.897,357.75,48.8
NGC2366,6.120,371.25,50.25
NGC2366,6.342,384.75,44.63
NGC2366,6.565,398.25,107.63
NGC2366,6.787,411.75,66.5
UGC8508,0.066,5.25,3.04
UGC8508,0.199,15.75,6.51
UGC8508,0.331,26.25,12.47
UGC8508,0.463,36.75,11.5
UGC8508,0.596,47.25,16.63
UGC8508,0.728,57.75,18.95
UGC8508,0.860,68.25,23.14
UGC8508,0.993,78.75,24.13
UGC8508,1.125,89.25,27.49
UGC8508,1.257,99.75,29.19
UGC8508,1.390,110.25,58.35
WLM,0.076,6,2.36
WLM,0.227,18,2.48
WLM,0.378,30,4.56
WLM,0.529,42,7.13
WLM,0.681,54,8.54
WLM,0.832,66,9.64
WLM,0.983,78,12.46
WLM,1.134,90,14.16
WLM,1.286,102,15.42
WLM,1.437,114,16.79
WLM,1.588,126,18.11
WLM,1.740,138,19.48
WLM,1.891,150,21.27
WLM,2.042,162,22.75
WLM,2.193,174,23.41
WLM,2.345,186,23.39
WLM,2.496,198,24.34
WLM,2.647,210,24.51
WLM,2.798,222,24.94
WLM,2.950,234,25.86
WLM,3.101,246,27.27
WLM,3.252,258,28.04
WLM,3.403,270,27.62
WLM,3.555,282,27.48
WLM,3.706,294,27.87
WLM,3.857,306,27.55
WLM,4.008,318,28.71
WLM,4.160,330,27.4
WLM,4.311,342,30.36
WLM,4.462,354,30.98
WLM,4.613,366,31.59
WLM,4.765,378,38.68
WLM,4.916,390,33.65
WLM,5.067,402,30.67
WLM,5.219,414,32.84
WLM,5.370,426,36.96
WLM,5.521,438,36.1
WLM,5.672,450,32.84
WLM,5.824,462,34.29
WLM,5.975,474,32.5
WLM,6.126,486,29.53
WLM,6.277,498,38.83
WLM,6.429,510,31.89
WLM,6.580,522,30.4
WLM,6.731,534,31.57
WLM,6.882,546,40.18
WLM,7.034,558,32.58
WLM,7.185,570,34.37
WLM,7.336,582,25.02
WLM,7.487,594,41.37
